age,cefr,filename,gender,lang,num_tokens,testlevel,title,topic
30,B1/B2,s0038,kvinne,russisk,359,Språkprøven,En forfatter og om en bok han/ hun har skrevet,litteratur bok biografi 
28,B1/B2,s0029,mann,tysk,263,Språkprøven,Mobiltelefoner,telefon 
21,B2/C1,h0496,kvinne,spansk,453,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
29,A2/B1,s0180,kvinne,vietnamesisk,380,Språkprøven,Røyking,helse røyking 
37,N/A,s0668,mann,serbokroatisk,286,Språkprøven,Flytting,familie flytting 
26,B2,h0410,kvinne,russisk,374,Høyere nivå,Praktisk og teoretisk utdanning,utdannelse 
19,B1,s0127,kvinne,tysk,371,Språkprøven,Vennskap,folk relasjoner vennskap 
19,N/A,h2039,mann,bokmål,341,Høyere nivå,Diktet 'Ingen ting' av Paulus Utsi om språk,litteratur dikt språk 
32,B1,s0764,kvinne,spansk,357,Språkprøven,Vaner og tradisjoner å ta vare på når du flytter,tradisjoner flytting 
63,N/A,s2033,kvinne,bokmål,309,Språkprøven,Sunnhet og helse,helse 
29,N/A,h0708,kvinne,serbokroatisk,504,Høyere nivå,Reality-TV,media tv 
29,B1,s0521,kvinne,russisk,503,Språkprøven,En forfatter og om en bok han/ hun har skrevet,litteratur bok biografi 
39,B1,s0469,mann,tysk,355,Språkprøven,Mobiltelefoner,telefon 
40,N/A,s0752,mann,serbokroatisk,232,Språkprøven,Vaner og tradisjoner å ta vare på når du flytter,tradisjoner flytting 
50,N/A,s0401,kvinne,nederlandsk,410,Språkprøven,Nordmenn,folk norge 
24,B1,s0849,kvinne,vietnamesisk,203,Språkprøven,Vennskap,folk relasjoner vennskap 
29,N/A,s0426,mann,nederlandsk,300,Språkprøven,Nyheter,media 
21,N/A,h2097,mann,bokmål,430,Høyere nivå,Organdonasjon,helse organ 
25,N/A,h0650,mann,serbokroatisk,453,Høyere nivå,Nordmenns holdning til EU,politikk norge holdning 
31,A2/B1,s0688,kvinne,vietnamesisk,333,Språkprøven,Den norske naturen,natur norge 
21,N/A,h0713,kvinne,albansk,583,Høyere nivå,Den gode skolen,skole 
23,N/A,h0700,kvinne,serbokroatisk,495,Høyere nivå,Norge det beste sted å bo,geografi norge folk 
34,B1,s0353,mann,engelsk,231,Språkprøven,Mobiltelefoner,telefon 
28,N/A,s0816,kvinne,serbokroatisk,260,Språkprøven,Bomiljø,bolig 
30,B2,s0727,kvinne,polsk,669,Språkprøven,Barneoppdragelse,barn 
21,N/A,h2092,kvinne,nynorsk,548,Høyere nivå,Organdonasjon,helse organ 
23,A2/B1,s0092,mann,vietnamesisk,250,Språkprøven,Bolig og bosted,bolig 
17,B1,s0017,kvinne,engelsk,240,Språkprøven,Bomiljø,bolig 
26,B2,h0133,kvinne,spansk,560,Høyere nivå,Diktet 'Toleranse',litteratur dikt 
29,N/A,h0685,kvinne,nederlandsk,486,Høyere nivå,Inn- og utvandring,innvandring 
39,N/A,s0077,kvinne,serbokroatisk,451,Språkprøven,Før og nå,tid 
26,B2,h0143,kvinne,polsk,528,Høyere nivå,Livslang læring,utdannelse 
29,A2/B1,s0476,kvinne,russisk,301,Språkprøven,Vennskap,folk relasjoner vennskap 
38,B2,h0629,kvinne,polsk,615,Høyere nivå,Adopsjon,barn familie 
36,B2,h0678,kvinne,vietnamesisk,364,Høyere nivå,Inn- og utvandring,innvandring 
32,B2,h0338,kvinne,spansk,402,Høyere nivå,Kommunevalget i Norge,politikk valg 
34,A2/B1,s0480,mann,russisk,238,Språkprøven,Møte med norsk kultur,kultur norge 
38,A2/B1,s0861,mann,somali,279,Språkprøven,Framtida,tid 
29,N/A,h0118,mann,nederlandsk,464,Høyere nivå,Import av utenlandsk arbeidskraft,arbeid innvandring 
25,B1,s0988,kvinne,tysk,306,Språkprøven,Mobiltelefoner,telefon 
29,A2,s0642,kvinne,vietnamesisk,214,Språkprøven,Viktige verdier i livet,verdier 
34,B2/C1,h0123,kvinne,polsk,448,Høyere nivå,Livslang læring,utdannelse 
25,B1,h0694,mann,somali,395,Høyere nivå,Å være kjendis,folk 
30,B2,h0526,mann,engelsk,410,Høyere nivå,Leselyst,litteratur kultur 
31,A2/B1,s0345,kvinne,engelsk,266,Språkprøven,Mobiltelefoner,telefon 
34,C1,h0567,kvinne,tysk,473,Høyere nivå,Integrering av innvandrere,innvandring 
20,N/A,h2078,mann,bokmål,433,Høyere nivå,Olympiske leker og sportslige idealer,idrett/sport 
19,A2/B1,s0805,kvinne,somali,198,Språkprøven,En kjent person,folk biografi 
32,A2/B1,s0013,kvinne,engelsk,214,Språkprøven,Bomiljø,bolig 
23,N/A,s0071,mann,nederlandsk,372,Språkprøven,Gjenbruk,miljø 
35,A2/B1,s0568,kvinne,spansk,247,Språkprøven,Nyheter,media 
32,B1/B2,s0726,kvinne,polsk,402,Språkprøven,Fremmedspråkslæring,utdannelse språk 
40,N/A,s2096,mann,nynorsk,250,Språkprøven,Penger og andre verdier,økonomi holdning 
45,B1/B2,h0261,mann,engelsk,594,Høyere nivå,Mobiltelefonen,telefon 
23,B2/C1,h0403,kvinne,tysk,477,Høyere nivå,Bolig og boutgifter,bolig økonomi 
27,N/A,s0951,kvinne,serbokroatisk,280,Språkprøven,Trafikk og boligområder,trafikk bolig 
54,N/A,s0946,mann,serbokroatisk,78,Språkprøven,Fjernsynsprogram for barn,barn tv 
35,B1,s0478,kvinne,russisk,384,Språkprøven,Møte med norsk kultur,kultur norge 
35,B1/B2,h0473,kvinne,polsk,429,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
32,N/A,s0267,mann,albansk,362,Språkprøven,En forfatter og om en bok han/ hun har skrevet,litteratur bok biografi 
28,N/A,s0108,mann,nederlandsk,285,Språkprøven,Reise,reise geografi 
33,N/A,s0234,mann,albansk,212,Språkprøven,En hyggelig opplevelse,opplevelse 
25,B1,s0627,kvinne,somali,330,Språkprøven,Viktige verdier i livet,verdier 
34,B1/B2,h0207,mann,spansk,390,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
29,B2,h0154,kvinne,spansk,469,Høyere nivå,Å leve i store byer,bolig geografi 
38,B2,h0467,kvinne,tysk,462,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
28,B2,s0753,kvinne,polsk,425,Språkprøven,Viktige verdier i livet,verdier 
22,N/A,s0259,mann,albansk,236,Språkprøven,Flytting,familie flytting 
19,N/A,h0677,kvinne,serbokroatisk,316,Høyere nivå,Inn- og utvandring,innvandring 
24,B1/B2,s0995,kvinne,tysk,300,Språkprøven,Glede,folk følelser 
46,B2/C1,h0447,mann,spansk,503,Høyere nivå,Diktet 'Det er langt mellom venner' av Kolbjørn Falkeid,litteratur dikt venner 
51,A2/B1,s0599,mann,somali,232,Språkprøven,Møte med norsk kultur,kultur norge 
20,B2,s0966,kvinne,tysk,633,Språkprøven,Trafikk og boligområder,trafikk bolig 
25,A2/B1,s0088,kvinne,somali,226,Språkprøven,Framtida,tid 
23,N/A,h2020,kvinne,bokmål,380,Høyere nivå,Diktet 'Ingen ting' av Paulus Utsi om språk,litteratur dikt språk 
27,B1/B2,h0551,mann,tysk,687,Høyere nivå,Trafikkdøden,trafikk død 
25,N/A,h2054,mann,bokmål,595,Høyere nivå,Olympiske leker og sportslige idealer,idrett/sport 
25,N/A,s0281,mann,albansk,247,Språkprøven,Fremmedspråkslæring,utdannelse språk 
24,B2,h0466,kvinne,russisk,557,Høyere nivå,Diktet 'Det er langt mellom venner' av Kolbjørn Falkeid,litteratur dikt venner 
18,B1,s0443,kvinne,tysk,264,Språkprøven,Viktige verdier i livet,verdier 
26,B1/B2,h0091,kvinne,polsk,282,Høyere nivå,Å leve i store byer,bolig geografi 
40,N/A,h0007,kvinne,nederlandsk,771,Høyere nivå,Barnelitteratur,barn litteratur kultur 
29,B2,h0333,mann,tysk,373,Høyere nivå,Husstander i Norge,familie befolkning norge 
44,B2,h0515,kvinne,engelsk,570,Høyere nivå,Diktet 'Det er langt mellom venner' av Kolbjørn Falkeid,litteratur dikt venner 
44,B1,s0181,kvinne,vietnamesisk,351,Språkprøven,Vaner og tradisjoner å ta vare på når du flytter,tradisjoner flytting 
31,N/A,s0083,kvinne,serbokroatisk,329,Språkprøven,Barneoppdragelse,barn 
29,A2/B1,s0449,mann,tysk,238,Språkprøven,Nyheter,media 
35,A2/B1,s0511,kvinne,russisk,302,Språkprøven,Den norske naturen,natur norge 
22,N/A,s2030,mann,nynorsk,175,Språkprøven,Penger og andre verdier,økonomi holdning 
30,B1/B2,s0562,mann,spansk,348,Språkprøven,Nyheter,media 
24,N/A,s0050,mann,albansk,293,Språkprøven,Barneoppdragelse,barn 
36,B1,s0163,kvinne,polsk,346,Språkprøven,Barneoppdragelse,barn 
24,B1,s0832,kvinne,spansk,308,Språkprøven,Bomiljø,bolig 
21,N/A,h2026,kvinne,nynorsk,452,Høyere nivå,Organdonasjon,helse organ 
32,B1,s0563,kvinne,spansk,239,Språkprøven,Framtida,tid 
32,N/A,s0609,kvinne,serbokroatisk,292,Språkprøven,Vennskap,folk relasjoner vennskap 
58,N/A,s0072,mann,nederlandsk,245,Språkprøven,Før og nå,tid 
36,B1/B2,h0276,kvinne,spansk,465,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
27,B1/B2,h0127,kvinne,polsk,469,Høyere nivå,Borgerlønn,økonomi 
30,B1/B2,h0239,kvinne,polsk,480,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
48,B1,s0307,mann,engelsk,245,Språkprøven,Bomiljø,bolig 
19,N/A,h2030,mann,bokmål,587,Høyere nivå,Organdonasjon,helse organ 
63,N/A,s2018,mann,bokmål,309,Språkprøven,Penger og andre verdier,økonomi holdning 
33,B1,s0939,kvinne,polsk,318,Språkprøven,Trafikk og boligområder,trafikk bolig 
25,B1/B2,h0649,kvinne,polsk,544,Høyere nivå,Diktet 'Mayday' av Lars Saabye Christensen,litteratur dikt 
31,B1,s0192,kvinne,engelsk,235,Språkprøven,Bomiljø,bolig 
28,B2/C1,h0472,mann,engelsk,439,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
31,N/A,h0203,mann,albansk,574,Høyere nivå,Helse og livskvalitet,helse 
33,A2/B1,s0776,kvinne,spansk,333,Språkprøven,Bomiljø,bolig 
18,A2/B1,s0629,mann,vietnamesisk,267,Språkprøven,En hyggelig opplevelse,opplevelse 
23,N/A,h2058,kvinne,bokmål,426,Høyere nivå,Organdonasjon,helse organ 
26,N/A,h0124,kvinne,albansk,660,Høyere nivå,Politisk engasjement,politikk folk 
24,N/A,s0265,mann,albansk,313,Språkprøven,Flytting,familie flytting 
28,B2/C1,h0215,mann,engelsk,518,Høyere nivå,Mobiltelefon,telefon 
27,A2/B1,s0566,kvinne,spansk,271,Språkprøven,Framtida,tid 
22,N/A,s0278,mann,albansk,191,Språkprøven,Den norske naturen,natur norge 
24,A2/B1,s0543,mann,somali,315,Språkprøven,Folk reiser så mye i våre dager,reise folk 
24,N/A,h0268,mann,nederlandsk,497,Høyere nivå,Bilisme,bil trafikk 
30,B2/C1,h0570,kvinne,russisk,469,Høyere nivå,Kommunevalget i Norge,politikk valg 
31,B1,s1005,kvinne,polsk,295,Språkprøven,En sport du liker,idrett/sport 
28,A2/B1,s0551,kvinne,spansk,403,Språkprøven,Å treffe andre mennesker,folk møte 
30,B1/B2,h0459,kvinne,russisk,452,Høyere nivå,Leselyst,litteratur kultur 
32,B1/B2,h0555,mann,engelsk,454,Høyere nivå,Trafikkdøden,trafikk død 
23,B2,h0383,kvinne,russisk,456,Høyere nivå,Bolig og boutgifter,bolig økonomi 
30,B2,h0081,kvinne,polsk,480,Høyere nivå,Å leve i store byer,bolig geografi 
25,B2,h0161,kvinne,polsk,427,Høyere nivå,Inn- og utvandring,innvandring 
28,N/A,h0703,mann,serbokroatisk,432,Høyere nivå,Norge det beste sted å bo,geografi norge folk 
35,B1,s0911,mann,tysk,415,Språkprøven,Trafikk og boligområder,trafikk bolig 
45,N/A,s0820,mann,serbokroatisk,301,Språkprøven,Viktige verdier i livet,verdier 
30,B2/C1,h0401,kvinne,tysk,622,Høyere nivå,Borgerlønn,økonomi 
20,B1,s1006,kvinne,tysk,353,Språkprøven,Likestilling,kjønn holdning 
32,C1,h0157,kvinne,polsk,651,Høyere nivå,Barn og fysiske aktiviteter,barn idrett/sport 
45,N/A,s0197,kvinne,nederlandsk,373,Språkprøven,Viktige verdier i livet,verdier 
35,B1,s0854,kvinne,vietnamesisk,234,Språkprøven,Bilbruk,bil 
28,A2/B1,s0115,mann,somali,234,Språkprøven,Framtida,tid 
21,N/A,s0106,kvinne,nederlandsk,283,Språkprøven,Reise,reise geografi 
41,B1/B2,h0643,kvinne,spansk,392,Høyere nivå,Diktet 'Mayday' av Lars Saabye Christensen,litteratur dikt 
26,B2/C1,h0627,mann,spansk,756,Høyere nivå,Eldrebølgen,eldre familie 
27,B1/B2,h0275,kvinne,russisk,460,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
34,A2,s0335,mann,engelsk,378,Språkprøven,Mobiltelefoner,telefon 
35,N/A,s0369,kvinne,nederlandsk,349,Språkprøven,Reise,reise geografi 
21,N/A,s0204,mann,albansk,178,Språkprøven,Framtida,tid 
27,B2,h0614,kvinne,engelsk,519,Høyere nivå,Tilgjengelig arbeidsstyrke og behov i ulike yrker,arbeid yrke 
37,C1,h0638,kvinne,polsk,509,Høyere nivå,Nordmenns holdning til EU,politikk norge holdning 
32,N/A,s0247,mann,albansk,333,Språkprøven,Barneoppdragelse,barn 
25,N/A,s2072,mann,bokmål,270,Språkprøven,Penger og andre verdier,økonomi holdning 
28,B1/B2,s0722,kvinne,polsk,460,Språkprøven,Fremmedspråkslæring,utdannelse språk 
33,N/A,h2052,mann,bokmål,348,Høyere nivå,Organdonasjon,helse organ 
49,N/A,s0407,kvinne,nederlandsk,244,Språkprøven,Bomiljø,bolig 
53,B1,s0316,mann,engelsk,224,Språkprøven,Bomiljø,bolig 
21,B2/C1,h0505,kvinne,tysk,488,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
30,N/A,h0661,mann,nederlandsk,419,Høyere nivå,Diktet 'Mayday' av Lars Saabye Christensen,litteratur dikt 
35,N/A,s0200,mann,albansk,180,Språkprøven,Nyheter,media 
39,A2/B1,s0782,mann,spansk,295,Språkprøven,Konkurranse,idrett/sport konkurranse 
24,C1,h0212,mann,engelsk,623,Høyere nivå,Bilisme,bil trafikk 
21,B2,h0226,kvinne,tysk,345,Høyere nivå,Diktet 'Privat huskeregel' av Kolbjørn Falkeid,litteratur dikt 
24,B1,s0510,kvinne,russisk,321,Språkprøven,Den norske naturen,natur norge 
31,B1,h0581,kvinne,tysk,553,Høyere nivå,Trafikkdøden,trafikk død 
30,A2/B1,s0167,mann,spansk,338,Språkprøven,Fremmedspråkslæring,utdannelse språk 
27,N/A,h2069,kvinne,bokmål,541,Høyere nivå,Diktet 'Ingen ting' av Paulus Utsi om språk,litteratur dikt språk 
31,B2,h0542,mann,russisk,704,Høyere nivå,Miljøvern,miljø klima 
21,N/A,h2079,kvinne,bokmål,396,Høyere nivå,Diktet 'Ingen ting' av Paulus Utsi om språk,litteratur dikt språk 
19,N/A,h2038,kvinne,nynorsk,370,Høyere nivå,Organdonasjon,helse organ 
50,N/A,s2020,kvinne,bokmål,231,Språkprøven,Sunnhet og helse,helse 
33,B2,h0400,kvinne,tysk,488,Høyere nivå,Praktisk og teoretisk utdanning,utdannelse 
24,B2,h0458,kvinne,engelsk,463,Høyere nivå,Leselyst,litteratur kultur 
19,B2,s0633,mann,somali,246,Språkprøven,En interesse du har,interesse 
26,B1,s0299,kvinne,engelsk,261,Språkprøven,Vaner og tradisjoner å ta vare på når du flytter,tradisjoner flytting 
30,B1,s0555,kvinne,spansk,273,Språkprøven,Å treffe andre mennesker,folk møte 
44,N/A,s0374,mann,nederlandsk,261,Språkprøven,Reise,reise geografi 
39,B2,h0228,mann,tysk,585,Høyere nivå,Bilisme,bil trafikk 
25,N/A,s0274,kvinne,albansk,279,Språkprøven,En forfatter og om en bok han/ hun har skrevet,litteratur bok biografi 
24,B2,s0067,kvinne,russisk,401,Språkprøven,Vennskap,folk relasjoner vennskap 
32,N/A,s0604,mann,serbokroatisk,342,Språkprøven,Alkohol og alkoholvaner,rus 
20,N/A,h0034,kvinne,nederlandsk,569,Høyere nivå,Netthandel,-
25,N/A,s0425,mann,nederlandsk,256,Språkprøven,Mobiltelefoner,telefon 
32,N/A,s0137,kvinne,albansk,349,Språkprøven,Viktige verdier i livet,verdier 
38,N/A,s0120,mann,nederlandsk,448,Språkprøven,Vennskap,folk relasjoner vennskap 
25,B1,s0779,kvinne,spansk,310,Språkprøven,Bomiljø,bolig 
25,B2,h0340,kvinne,spansk,646,Høyere nivå,Kommunevalget i Norge,politikk valg 
30,B1/B2,s0784,kvinne,polsk,229,Språkprøven,Viktige verdier i livet,verdier 
40,A2/B1,s0711,kvinne,vietnamesisk,342,Språkprøven,Den norske naturen,natur norge 
34,A2/B1,s0700,mann,somali,278,Språkprøven,En forfatter og om en bok han/ hun har skrevet,litteratur bok biografi 
40,B1,s0731,kvinne,vietnamesisk,278,Språkprøven,Fremmedspråkslæring,utdannelse språk 
19,B1,s0452,kvinne,tysk,315,Språkprøven,Mobiltelefoner,telefon 
28,A2/B1,s0176,kvinne,spansk,266,Språkprøven,Barneoppdragelse,barn 
23,B2/C1,h0095,kvinne,polsk,626,Høyere nivå,Diktet 'Sannheten' av Rolf Jacobsen,litteratur dikt 
38,C1,h0210,kvinne,engelsk,622,Høyere nivå,Likestilling mellom kjønnene,kjønn 
26,B2,h0295,kvinne,polsk,674,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
34,N/A,h0352,kvinne,nederlandsk,514,Høyere nivå,Kommunevalget i Norge,politikk valg 
42,N/A,s0950,mann,serbokroatisk,298,Språkprøven,Fjernsynsprogram for barn,barn tv 
59,N/A,s0246,mann,albansk,332,Språkprøven,En bok du har lest,litteratur bok 
42,N/A,s0232,kvinne,albansk,278,Språkprøven,Viktige verdier i livet,verdier 
31,B1,s0292,mann,engelsk,235,Språkprøven,Bomiljø,bolig 
21,N/A,h2088,kvinne,bokmål,496,Høyere nivå,Diktet 'Ingen ting' av Paulus Utsi om språk,litteratur dikt språk 
22,B1,s0567,kvinne,spansk,222,Språkprøven,Framtida,tid 
33,N/A,h2048,kvinne,bokmål,429,Høyere nivå,Organdonasjon,helse organ 
34,N/A,s0130,kvinne,albansk,216,Språkprøven,En hyggelig opplevelse,opplevelse 
24,N/A,s0144,kvinne,serbokroatisk,355,Språkprøven,Barneoppdragelse,barn 
24,N/A,h0336,kvinne,albansk,556,Høyere nivå,Fødselstall og befolkningssammensetning,familie befolkning 
38,A2/B1,s0571,kvinne,vietnamesisk,224,Språkprøven,Framtida,tid 
19,N/A,s0110,kvinne,nederlandsk,234,Språkprøven,Folk reiser så mye i våre dager,reise folk 
38,B1/B2,s0956,kvinne,polsk,529,Språkprøven,Fjernsynsprogram for barn,barn tv 
24,B1,s0484,kvinne,russisk,198,Språkprøven,Alkohol og alkoholvaner,rus 
21,B2,h0141,mann,polsk,451,Høyere nivå,En bok fra din kultur eller ditt hjemland,bok litteratur kultur 
22,B2,h0232,kvinne,russisk,419,Høyere nivå,Mobiltelefonen,telefon 
19,N/A,s2076,mann,nynorsk,287,Språkprøven,Frihet og ansvar,holdning 
45,B2,h0599,kvinne,polsk,399,Høyere nivå,Eldrebølgen,eldre familie 
37,B1,s0678,kvinne,vietnamesisk,329,Språkprøven,Et yrke,arbeid yrke 
24,B2,h0448,kvinne,russisk,435,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
20,N/A,h0001,mann,serbokroatisk,428,Høyere nivå,Mobbing på arbeidsplassen,arbeid mobbing holdning 
40,A2/B1,s0171,kvinne,polsk,256,Språkprøven,Barneoppdragelse,barn 
44,B2,h0439,kvinne,engelsk,771,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
28,N/A,h0530,kvinne,nederlandsk,512,Høyere nivå,Diktet 'Det er langt mellom venner' av Kolbjørn Falkeid,litteratur dikt venner 
29,A2,s0987,kvinne,vietnamesisk,218,Språkprøven,Mobiltelefoner,telefon 
29,B2,h0248,kvinne,polsk,711,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
33,B1/B2,s0027,kvinne,tysk,268,Språkprøven,Viktige verdier i livet,verdier 
19,A2/B1,s0016,kvinne,vietnamesisk,232,Språkprøven,Bomiljø,bolig 
31,N/A,h0591,kvinne,nederlandsk,449,Høyere nivå,Integrering av innvandrere,innvandring 
39,N/A,h2022,kvinne,bokmål,468,Høyere nivå,Organdonasjon,helse organ 
25,A2/B1,s0008,mann,vietnamesisk,242,Språkprøven,Vaner og tradisjoner å ta vare på når du flytter,tradisjoner flytting 
29,N/A,h0701,kvinne,serbokroatisk,452,Høyere nivå,Studier - bare for de unge?,utdannelse 
34,B2,h0594,mann,engelsk,679,Høyere nivå,Trafikkdøden,trafikk død 
35,B1,s0793,kvinne,polsk,227,Språkprøven,Nyheter,media 
31,N/A,h0150,mann,nederlandsk,447,Høyere nivå,Livslang læring,utdannelse 
33,B1,s0003,kvinne,spansk,286,Språkprøven,Bomiljø,bolig 
45,B1/B2,h0273,kvinne,russisk,710,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
31,N/A,h2032,kvinne,bokmål,319,Høyere nivå,Diktet 'Ingen ting' av Paulus Utsi om språk,litteratur dikt språk 
54,N/A,s0957,mann,serbokroatisk,342,Språkprøven,Frivillig hjelp i organisasjoner,organisasjon 
25,B1/B2,h0142,kvinne,spansk,498,Høyere nivå,Borgerlønn,økonomi 
27,B1,s0116,kvinne,russisk,233,Språkprøven,Møte med norsk kultur,kultur norge 
43,B2,s0026,kvinne,tysk,241,Språkprøven,Mobiltelefoner,telefon 
33,B2,h0398,mann,spansk,495,Høyere nivå,Bolig og boutgifter,bolig økonomi 
40,B2,h0309,kvinne,tysk,483,Høyere nivå,Bilisme,bil trafikk 
22,B1,s0526,kvinne,russisk,266,Språkprøven,En forfatter og om en bok han/ hun har skrevet,litteratur bok biografi 
26,B1/B2,h0299,kvinne,russisk,397,Høyere nivå,Diktet 'Privat huskeregel' av Kolbjørn Falkeid,litteratur dikt 
29,B2,h0197,kvinne,russisk,490,Høyere nivå,'Import' av helsepersonell,helse arbeid innvandring 
35,A2/B1,s0705,kvinne,spansk,215,Språkprøven,Den norske naturen,natur norge 
19,B1,s0989,kvinne,tysk,273,Språkprøven,Boformer,bolig 
53,N/A,s0821,kvinne,serbokroatisk,419,Språkprøven,Bomiljø,bolig 
34,B1/B2,h0499,kvinne,engelsk,718,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
37,B2,h0380,mann,tysk,526,Høyere nivå,Bolig og boutgifter,bolig økonomi 
39,B2/C1,h0584,kvinne,tysk,741,Høyere nivå,Integrering av innvandrere,innvandring 
39,N/A,h0111,.,serbokroatisk,566,Høyere nivå,Import av utenlandsk arbeidskraft,arbeid innvandring 
-1,B1/B2,s0066,kvinne,russisk,427,Språkprøven,Vennskap,folk relasjoner vennskap 
32,B1,s0639,mann,somali,234,Språkprøven,En hyggelig opplevelse,opplevelse 
34,B2,h0327,kvinne,russisk,442,Høyere nivå,Diktet 'Privat huskeregel' av Kolbjørn Falkeid,litteratur dikt 
20,N/A,s2086,kvinne,bokmål,367,Språkprøven,Frihet og ansvar,holdning 
46,B2,h0334,kvinne,engelsk,678,Høyere nivå,Diktet 'Et møte' av Kolbein Falkeid,litteratur dikt 
25,N/A,s0212,mann,albansk,284,Språkprøven,Framtida,tid 
24,N/A,s0209,mann,albansk,268,Språkprøven,Framtida,tid 
34,B1,s0694,kvinne,spansk,421,Språkprøven,Den norske naturen,natur norge 
24,A2/B1,s0076,kvinne,polsk,190,Språkprøven,Barneoppdragelse,barn 
32,B1/B2,h0361,kvinne,spansk,453,Høyere nivå,Kommunevalget i Norge,politikk valg 
24,A2/B1,s0886,kvinne,vietnamesisk,231,Språkprøven,Frihet og ansvar,holdning 
31,B1,s0015,kvinne,engelsk,256,Språkprøven,Bomiljø,bolig 
40,N/A,h0630,mann,nederlandsk,426,Høyere nivå,Fødselstall og befolkningssammensetning,familie befolkning 
41,B2,h0256,kvinne,russisk,489,Høyere nivå,Mobiltelefonen,telefon 
44,B1,s0470,mann,tysk,284,Språkprøven,Mobiltelefoner,telefon 
27,B1/B2,h0411,kvinne,russisk,415,Høyere nivå,Bolig og boutgifter,bolig økonomi 
31,B1,s0747,kvinne,polsk,293,Språkprøven,Viktige verdier i livet,verdier 
26,B1/B2,s0331,kvinne,engelsk,262,Språkprøven,Mobiltelefoner,telefon 
22,A2/B1,s0487,kvinne,russisk,284,Språkprøven,Møte med norsk kultur,kultur norge 
31,N/A,s0252,kvinne,albansk,279,Språkprøven,Før og nå,tid 
23,B1/B2,s0324,kvinne,engelsk,193,Språkprøven,Mobiltelefoner,telefon 
27,B1,s0225,kvinne,engelsk,196,Språkprøven,Møte med norsk kultur,kultur norge 
27,N/A,h0282,mann,serbokroatisk,484,Høyere nivå,Diktet 'Privat huskeregel' av Kolbjørn Falkeid,litteratur dikt 
22,B1,s0928,kvinne,tysk,333,Språkprøven,Trafikk og boligområder,trafikk bolig 
27,N/A,s0363,mann,nederlandsk,324,Språkprøven,Reise,reise geografi 
26,B1,s0693,kvinne,vietnamesisk,389,Språkprøven,En forfatter og om en bok han/ hun har skrevet,litteratur bok biografi 
