age,cefr,filename,gender,lang,num_tokens,split,testlevel,title,topic
29,N/A,h0057,kvinne,serbokroatisk,455,N/A,Høyere nivå,Netthandel,-
29,N/A,h0058,kvinne,serbokroatisk,526,N/A,Høyere nivå,Det norske monarkiet,norge styreform 
30,B2,h0059,mann,spansk,288,train,Høyere nivå,Netthandel,handel økonomi media 
40,B2/C1,h0060,kvinne,polsk,459,train,Høyere nivå,Lærerlønn,økonomi arbeid yrke 
45,B2/C1,h0061,kvinne,polsk,523,train,Høyere nivå,Det norske monarkiet,norge styreform 
37,N/A,h0062,kvinne,serbokroatisk,387,N/A,Høyere nivå,Netthandel,-
30,N/A,h0063,kvinne,nederlandsk,396,N/A,Høyere nivå,Netthandel,handel økonomi media 
32,N/A,h0064,mann,nederlandsk,628,N/A,Høyere nivå,Netthandel,handel økonomi media 
28,N/A,h0065,kvinne,serbokroatisk,672,N/A,Høyere nivå,Lærerlønn,økonomi arbeid yrke 
39,N/A,h0066,mann,nederlandsk,540,N/A,Høyere nivå,Netthandel,handel økonomi media 
23,B2,h0067,kvinne,polsk,733,train,Høyere nivå,Netthandel,handel økonomi media 
22,B2,h0068,kvinne,polsk,810,train,Høyere nivå,Netthandel,handel økonomi media 
31,B2/C1,h0069,kvinne,spansk,416,train,Høyere nivå,Bolig og boutgifter,bolig økonomi 
27,N/A,h0070,mann,serbokroatisk,502,N/A,Høyere nivå,Å leve i store byer,bolig geografi 
25,B1/B2,h0071,kvinne,polsk,548,test,Høyere nivå,Å leve i store byer,bolig geografi 
26,B1/B2,h0072,mann,polsk,439,test,Høyere nivå,Å leve i store byer,bolig geografi 
30,B1/B2,h0073,kvinne,spansk,721,test,Høyere nivå,Å leve i store byer,bolig geografi 
28,N/A,h0074,kvinne,serbokroatisk,488,N/A,Høyere nivå,Å leve i store byer,bolig geografi 
27,B2,h0075,mann,spansk,634,test,Høyere nivå,Å leve i store byer,bolig geografi 
33,N/A,h0076,kvinne,serbokroatisk,1105,N/A,Høyere nivå,Bolig og boutgifter,bolig økonomi 
46,N/A,h0077,kvinne,nederlandsk,453,N/A,Høyere nivå,Å leve i store byer,bolig geografi 
27,B1/B2,h0078,kvinne,polsk,458,test,Høyere nivå,Å leve i store byer,bolig geografi 
42,B1/B2,h0079,kvinne,polsk,516,test,Høyere nivå,Å leve i store byer,bolig geografi 
30,N/A,h0080,mann,serbokroatisk,445,N/A,Høyere nivå,Å leve i store byer,bolig geografi 
30,B2,h0081,kvinne,polsk,480,test,Høyere nivå,Å leve i store byer,bolig geografi 
26,N/A,h0082,kvinne,serbokroatisk,1000,N/A,Høyere nivå,Enpersons-husholdninger,familie økonomi 
43,B2,h0083,kvinne,spansk,543,test,Høyere nivå,Å leve i store byer,bolig geografi 
31,N/A,h0084,kvinne,serbokroatisk,822,N/A,Høyere nivå,Bolig og boutgifter,bolig økonomi 
19,B2,h0085,kvinne,spansk,745,train,Høyere nivå,Enpersons-husholdninger,familie økonomi 
31,N/A,h0086,kvinne,nederlandsk,580,N/A,Høyere nivå,Å leve i store byer,bolig geografi 
36,N/A,h0087,kvinne,nederlandsk,596,N/A,Høyere nivå,Enpersons-husholdninger,familie økonomi 
37,N/A,h0088,mann,nederlandsk,455,N/A,Høyere nivå,Bolig og boutgifter,bolig økonomi 
34,N/A,h0089,mann,nederlandsk,540,N/A,Høyere nivå,Fotballinteresse,idrett/sport fotball 
37,N/A,h0090,kvinne,nederlandsk,533,N/A,Høyere nivå,Å leve i store byer,bolig geografi 
26,B1/B2,h0091,kvinne,polsk,282,test,Høyere nivå,Å leve i store byer,bolig geografi 
41,N/A,h0092,mann,nederlandsk,500,N/A,Høyere nivå,Miljøvern,miljø klima 
39,N/A,h0093,kvinne,serbokroatisk,751,N/A,Høyere nivå,Miljøvern,miljø klima 
22,N/A,h0094,kvinne,nederlandsk,597,N/A,Høyere nivå,Den lille forskjellen,kjønn 
23,B2/C1,h0095,kvinne,polsk,626,train,Høyere nivå,Diktet 'Sannheten' av Rolf Jacobsen,litteratur dikt 
23,B2/C1,h0096,kvinne,polsk,484,train,Høyere nivå,Den lille forskjellen,kjønn 
37,B2/C1,h0097,kvinne,spansk,447,train,Høyere nivå,Den lille forskjellen,kjønn 
28,N/A,h0098,kvinne,nederlandsk,409,N/A,Høyere nivå,Import av utenlandsk arbeidskraft,arbeid innvandring 
22,B1,h0099,mann,spansk,464,train,Høyere nivå,Miljøvern,miljø klima 
22,N/A,h0100,kvinne,nederlandsk,509,N/A,Høyere nivå,Den lille forskjellen,kjønn 
40,N/A,h0101,kvinne,nederlandsk,520,N/A,Høyere nivå,Den lille forskjellen,kjønn 
28,B2,h0102,kvinne,polsk,709,train,Høyere nivå,Den lille forskjellen,kjønn 
26,N/A,h0103,mann,nederlandsk,448,N/A,Høyere nivå,Import av utenlandsk arbeidskraft,arbeid innvandring 
24,B2,h0104,kvinne,polsk,694,train,Høyere nivå,Den lille forskjellen,kjønn 
30,N/A,h0105,kvinne,serbokroatisk,405,N/A,Høyere nivå,Import av utenlandsk arbeidskraft,arbeid innvandring 
39,N/A,h0106,kvinne,serbokroatisk,434,N/A,Høyere nivå,Diktet 'Sannheten' av Rolf Jacobsen,litteratur dikt 
30,B1/B2,h0107,kvinne,polsk,482,dev,Høyere nivå,Import av utenlandsk arbeidskraft,arbeid innvandring 
23,N/A,h0108,kvinne,serbokroatisk,511,N/A,Høyere nivå,Den lille forskjellen,kjønn 
40,B2/C1,h0109,kvinne,spansk,485,train,Høyere nivå,Den lille forskjellen,kjønn 
28,B1/B2,h0110,kvinne,polsk,548,train,Høyere nivå,Miljøvern,miljø klima 
39,N/A,h0111,.,serbokroatisk,566,N/A,Høyere nivå,Import av utenlandsk arbeidskraft,arbeid innvandring 
36,B1/B2,h0112,kvinne,polsk,609,dev,Høyere nivå,Import av utenlandsk arbeidskraft,arbeid innvandring 
51,N/A,h0113,kvinne,serbokroatisk,428,N/A,Høyere nivå,Diktet 'Sannheten' av Rolf Jacobsen,litteratur dikt 
31,N/A,h0114,kvinne,albansk,544,N/A,Høyere nivå,Den lille forskjellen,kjønn 
43,B1,h0115,mann,spansk,657,dev,Høyere nivå,Import av utenlandsk arbeidskraft,arbeid innvandring 
37,N/A,h0116,kvinne,nederlandsk,676,N/A,Høyere nivå,Likestilling mellom kjønnene,kjønn 
41,B1/B2,h0117,mann,spansk,517,train,Høyere nivå,Miljøvern,miljø klima 
29,N/A,h0118,mann,nederlandsk,464,N/A,Høyere nivå,Import av utenlandsk arbeidskraft,arbeid innvandring 
38,N/A,h0119,kvinne,nederlandsk,571,N/A,Høyere nivå,Likestilling mellom kjønnene,kjønn 
47,N/A,h0120,kvinne,serbokroatisk,626,N/A,Høyere nivå,Den lille forskjellen,kjønn 
25,N/A,h0121,kvinne,nederlandsk,591,N/A,Høyere nivå,Import av utenlandsk arbeidskraft,arbeid innvandring 
21,N/A,h0122,kvinne,nederlandsk,497,N/A,Høyere nivå,Politisk engasjement,politikk folk 
34,B2/C1,h0123,kvinne,polsk,448,train,Høyere nivå,Livslang læring,utdannelse 
26,N/A,h0124,kvinne,albansk,660,N/A,Høyere nivå,Politisk engasjement,politikk folk 
33,N/A,h0125,kvinne,nederlandsk,290,N/A,Høyere nivå,Diktet 'Toleranse',litteratur dikt 
30,N/A,h0126,mann,nederlandsk,453,N/A,Høyere nivå,Borgerlønn,økonomi 
27,B1/B2,h0127,kvinne,polsk,469,dev,Høyere nivå,Borgerlønn,økonomi 
38,B2/C1,h0128,mann,spansk,555,train,Høyere nivå,Diktet 'Toleranse',litteratur dikt 
27,N/A,h0129,kvinne,serbokroatisk,432,N/A,Høyere nivå,Uføretrygd,velferd økonomi 
28,B2/C1,h0130,kvinne,spansk,564,train,Høyere nivå,En bok fra din kultur eller ditt hjemland,bok litteratur kultur 
28,B1/B2,h0131,kvinne,polsk,753,dev,Høyere nivå,Borgerlønn,økonomi 
40,N/A,h0132,mann,nederlandsk,510,N/A,Høyere nivå,Livslang læring,utdannelse 
26,B2,h0133,kvinne,spansk,560,train,Høyere nivå,Diktet 'Toleranse',litteratur dikt 
25,N/A,h0134,kvinne,serbokroatisk,472,N/A,Høyere nivå,En bok fra din kultur eller ditt hjemland,bok litteratur kultur 
23,N/A,h0135,kvinne,serbokroatisk,426,N/A,Høyere nivå,Diktet 'Toleranse',litteratur dikt 
-1,B2,h0136,mann,spansk,429,train,Høyere nivå,Diktet 'Toleranse',litteratur dikt 
35,B2,h0137,kvinne,polsk,460,train,Høyere nivå,Livslang læring,utdannelse 
38,N/A,h0138,kvinne,serbokroatisk,788,N/A,Høyere nivå,En bok fra din kultur eller ditt hjemland,bok litteratur kultur 
35,N/A,h0139,kvinne,serbokroatisk,369,N/A,Høyere nivå,Uføretrygd,velferd økonomi 
25,N/A,h0140,mann,albansk,486,N/A,Høyere nivå,En bok fra din kultur eller ditt hjemland,bok litteratur kultur 
21,B2,h0141,mann,polsk,451,train,Høyere nivå,En bok fra din kultur eller ditt hjemland,bok litteratur kultur 
25,B1/B2,h0142,kvinne,spansk,498,dev,Høyere nivå,Borgerlønn,økonomi 
26,B2,h0143,kvinne,polsk,528,train,Høyere nivå,Livslang læring,utdannelse 
43,B2/C1,h0144,kvinne,polsk,661,dev,Høyere nivå,Borgerlønn,økonomi 
21,N/A,h0145,kvinne,albansk,314,N/A,Høyere nivå,En bok fra din kultur eller ditt hjemland,bok litteratur kultur 
25,N/A,h0146,kvinne,nederlandsk,663,N/A,Høyere nivå,Diktet 'Toleranse',litteratur dikt 
20,N/A,h0147,kvinne,serbokroatisk,398,N/A,Høyere nivå,Diktet 'Toleranse',litteratur dikt 
37,N/A,h0148,kvinne,serbokroatisk,454,N/A,Høyere nivå,En bok fra din kultur eller ditt hjemland,bok litteratur kultur 
23,N/A,h0149,mann,serbokroatisk,523,N/A,Høyere nivå,En bok fra din kultur eller ditt hjemland,bok litteratur kultur 
31,N/A,h0150,mann,nederlandsk,447,N/A,Høyere nivå,Livslang læring,utdannelse 
29,N/A,h0151,kvinne,serbokroatisk,527,N/A,Høyere nivå,Uføretrygd,velferd økonomi 
31,N/A,h0152,mann,albansk,609,N/A,Høyere nivå,En bok fra din kultur eller ditt hjemland,bok litteratur kultur 
32,B1/B2,h0153,mann,spansk,420,train,Høyere nivå,Diktet 'Toleranse',litteratur dikt 
29,B2,h0154,kvinne,spansk,469,test,Høyere nivå,Å leve i store byer,bolig geografi 
27,B2,h0155,kvinne,spansk,573,test,Høyere nivå,Å leve i store byer,bolig geografi 
37,C1,h0156,mann,spansk,505,test,Høyere nivå,Å leve i store byer,bolig geografi 
32,C1,h0157,kvinne,polsk,651,dev,Høyere nivå,Barn og fysiske aktiviteter,barn idrett/sport 
33,N/A,h0158,kvinne,serbokroatisk,463,N/A,Høyere nivå,Inn- og utvandring,innvandring 
35,B2,h0159,mann,spansk,523,test,Høyere nivå,Inn- og utvandring,innvandring 
28,N/A,h0160,mann,serbokroatisk,404,N/A,Høyere nivå,Inn- og utvandring,innvandring 
25,B2,h0161,kvinne,polsk,427,test,Høyere nivå,Inn- og utvandring,innvandring 
38,N/A,h0162,kvinne,nederlandsk,521,N/A,Høyere nivå,Å leve i store byer,bolig geografi 
39,N/A,h0163,mann,serbokroatisk,484,N/A,Høyere nivå,Inn- og utvandring,innvandring 
32,N/A,h0164,kvinne,nederlandsk,427,N/A,Høyere nivå,Barn og fysiske aktiviteter,barn idrett/sport 
25,C1,h0165,kvinne,polsk,544,test,Høyere nivå,Inn- og utvandring,innvandring 
20,N/A,h0166,kvinne,albansk,294,N/A,Høyere nivå,Barn og fysiske aktiviteter,barn idrett/sport 
29,B2,h0168,kvinne,spansk,440,train,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
39,B2,h0169,kvinne,engelsk,595,dev,Høyere nivå,Helse og livskvalitet,helse 
31,N/A,h0170,kvinne,nederlandsk,454,N/A,Høyere nivå,Diktet 'Synsvinkel' av Gunnar Øi,litteratur dikt 
26,B2,h0172,kvinne,polsk,639,train,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
34,N/A,h0173,kvinne,serbokroatisk,441,N/A,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
48,B1/B2,h0174,mann,spansk,459,train,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
34,B2,h0175,mann,spansk,563,train,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
26,B1/B2,h0176,mann,polsk,731,train,Høyere nivå,Diktet 'Synsvinkel' av Gunnar Øi,litteratur dikt 
20,B2,h0177,kvinne,russisk,684,train,Høyere nivå,Sangtradisjon,musikk kultur 
24,B2,h0178,kvinne,engelsk,521,train,Høyere nivå,Sangtradisjon,musikk kultur 
32,B2/C1,h0179,kvinne,engelsk,524,dev,Høyere nivå,'Import' av helsepersonell,helse arbeid innvandring 
22,B2/C1,h0180,kvinne,polsk,507,train,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
23,B2/C1,h0181,kvinne,polsk,419,train,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
27,B2,h0182,kvinne,engelsk,981,dev,Høyere nivå,Helse og livskvalitet,helse 
34,B2,h0183,kvinne,spansk,525,train,Høyere nivå,Sangtradisjon,musikk kultur 
19,N/A,h0184,kvinne,serbokroatisk,507,N/A,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
32,B1/B2,h0185,kvinne,russisk,536,dev,Høyere nivå,Helse og livskvalitet,helse 
29,B2,h0186,kvinne,russisk,551,dev,Høyere nivå,Helse og livskvalitet,helse 
35,B2,h0187,kvinne,engelsk,506,dev,Høyere nivå,Helse og livskvalitet,helse 
34,B2/C1,h0188,kvinne,russisk,567,dev,Høyere nivå,Helse og livskvalitet,helse 
51,C1,h0189,kvinne,engelsk,523,dev,Høyere nivå,Helse og livskvalitet,helse 
43,B2,h0190,kvinne,russisk,467,dev,Høyere nivå,Helse og livskvalitet,helse 
39,B2,h0191,mann,engelsk,483,dev,Høyere nivå,Helse og livskvalitet,helse 
32,N/A,h0192,kvinne,nederlandsk,709,N/A,Høyere nivå,'Import' av helsepersonell,helse arbeid innvandring 
36,N/A,h0193,mann,serbokroatisk,388,N/A,Høyere nivå,'Import' av helsepersonell,helse arbeid innvandring 
27,B2/C1,h0194,kvinne,russisk,1064,train,Høyere nivå,Sangtradisjon,musikk kultur 
29,B2,h0195,mann,polsk,592,train,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
37,B2,h0196,kvinne,polsk,563,train,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
29,B2,h0197,kvinne,russisk,490,dev,Høyere nivå,'Import' av helsepersonell,helse arbeid innvandring 
26,N/A,h0198,mann,albansk,436,N/A,Høyere nivå,Sangtradisjon,musikk kultur 
24,B1/B2,h0199,kvinne,russisk,506,dev,Høyere nivå,Helse og livskvalitet,helse 
27,B2,h0200,mann,spansk,962,train,Høyere nivå,Gjennomsnittsvekten øker,familie helse vekt 
28,B2,h0201,mann,engelsk,479,dev,Høyere nivå,Helse og livskvalitet,helse 
44,B1/B2,h0202,mann,engelsk,488,dev,Høyere nivå,'Import' av helsepersonell,helse arbeid innvandring 
31,N/A,h0203,mann,albansk,574,N/A,Høyere nivå,Helse og livskvalitet,helse 
25,B2,h0204,kvinne,russisk,406,dev,Høyere nivå,'Import' av helsepersonell,helse arbeid innvandring 
30,N/A,h0205,kvinne,serbokroatisk,498,N/A,Høyere nivå,'Import' av helsepersonell,helse arbeid innvandring 
20,B1/B2,h0206,kvinne,tysk,647,train,Høyere nivå,Mobiltelefonen,telefon 
34,B1/B2,h0207,mann,spansk,390,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
27,B1/B2,h0208,kvinne,russisk,460,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
32,B2,h0209,kvinne,russisk,599,train,Høyere nivå,Mobiltelefonen,telefon 
38,C1,h0210,kvinne,engelsk,622,train,Høyere nivå,Likestilling mellom kjønnene,kjønn 
23,B2/C1,h0211,kvinne,tysk,836,train,Høyere nivå,Bilisme,bil trafikk 
24,C1,h0212,mann,engelsk,623,train,Høyere nivå,Bilisme,bil trafikk 
46,B2,h0213,mann,engelsk,348,train,Høyere nivå,Likestilling mellom kjønnene,kjønn 
35,N/A,h0214,kvinne,nederlandsk,415,N/A,Høyere nivå,Diktet 'Privat huskeregel' av Kolbjørn Falkeid,litteratur dikt 
28,B2/C1,h0215,mann,engelsk,518,train,Høyere nivå,Mobiltelefon,telefon 
19,B2/C1,h0216,kvinne,engelsk,480,train,Høyere nivå,Likestilling mellom kjønnene,kjønn 
26,B2,h0217,kvinne,engelsk,538,train,Høyere nivå,Mobiltelefon,telefon 
34,B2/C1,h0218,kvinne,engelsk,690,train,Høyere nivå,Bilisme,bil trafikk 
31,C1,h0219,kvinne,tysk,604,train,Høyere nivå,Likestilling mellom kjønnene,kjønn 
26,B2/C1,h0220,kvinne,russisk,547,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
26,B2,h0221,mann,engelsk,313,train,Høyere nivå,Bilisme,bil trafikk 
20,B1/B2,h0222,kvinne,spansk,313,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
23,B2,h0223,kvinne,russisk,520,train,Høyere nivå,Mobiltelefonen,telefon 
53,B2/C1,h0224,kvinne,tysk,506,train,Høyere nivå,Likestilling mellom kjønnene,kjønn 
30,B2/C1,h0225,kvinne,tysk,570,train,Høyere nivå,Likestilling mellom kjønnene,kjønn 
21,B2,h0226,kvinne,tysk,345,train,Høyere nivå,Diktet 'Privat huskeregel' av Kolbjørn Falkeid,litteratur dikt 
31,B2/C1,h0227,mann,engelsk,647,train,Høyere nivå,Likestilling mellom kjønnene,kjønn 
39,B2,h0228,mann,tysk,585,train,Høyere nivå,Bilisme,bil trafikk 
37,B2,h0229,kvinne,engelsk,433,train,Høyere nivå,Mobiltelefonen,telefon 
26,B2,h0230,mann,spansk,421,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
33,B2/C1,h0231,kvinne,spansk,594,train,Høyere nivå,Mobiltelefonen,telefon 
22,B2,h0232,kvinne,russisk,419,train,Høyere nivå,Mobiltelefonen,telefon 
24,B2,h0233,kvinne,russisk,678,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
20,B2,h0234,kvinne,engelsk,454,train,Høyere nivå,Likestilling mellom kjønnene,kjønn 
35,B2,h0235,mann,engelsk,432,train,Høyere nivå,Mobiltelefonen,telefon 
26,B2,h0236,mann,spansk,522,train,Høyere nivå,Mobiltelefonen,telefon 
34,B1/B2,h0237,kvinne,russisk,449,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
42,B2/C1,h0238,kvinne,engelsk,900,train,Høyere nivå,Mobiltelefonen,telefon 
30,B1/B2,h0239,kvinne,polsk,480,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
32,B1/B2,h0240,kvinne,russisk,439,train,Høyere nivå,Bilisme,bil trafikk 
20,B2,h0241,kvinne,engelsk,699,train,Høyere nivå,Mobiltelefonen,telefon 
34,B2,h0242,mann,spansk,490,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
46,B2/C1,h0243,kvinne,russisk,536,train,Høyere nivå,Bilisme,bil trafikk 
33,B2/C1,h0244,kvinne,tysk,754,train,Høyere nivå,Mobiltelefonen,telefon 
26,B2,h0245,kvinne,tysk,430,train,Høyere nivå,Bilisme,bil trafikk 
25,B1/B2,h0246,kvinne,tysk,453,train,Høyere nivå,Mobiltelefonen,telefon 
27,B1/B2,h0247,kvinne,russisk,543,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
29,B2,h0248,kvinne,polsk,711,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
31,B2/C1,h0249,kvinne,tysk,811,train,Høyere nivå,Bilisme,bil trafikk 
24,B2,h0250,kvinne,tysk,502,train,Høyere nivå,Mobiltelefonen,telefon 
34,B2/C1,h0251,kvinne,tysk,539,train,Høyere nivå,Likestilling mellom kjønnene,kjønn 
40,B2,h0252,kvinne,engelsk,399,train,Høyere nivå,Diktet 'Privat huskeregel' av Kolbjørn Falkeid,litteratur dikt 
24,B2,h0253,kvinne,polsk,608,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
29,B1/B2,h0254,kvinne,russisk,490,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
36,B2,h0255,kvinne,engelsk,587,train,Høyere nivå,Likestilling mellom kjønnene,kjønn 
41,B2,h0256,kvinne,russisk,489,train,Høyere nivå,Mobiltelefonen,telefon 
35,B2/C1,h0257,kvinne,russisk,823,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
28,B2,h0258,kvinne,tysk,661,train,Høyere nivå,Likestilling mellom kjønnene,kjønn 
24,B2,h0259,kvinne,spansk,396,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
27,B2,h0260,kvinne,tysk,554,train,Høyere nivå,Bilisme,bil trafikk 
45,B1/B2,h0261,mann,engelsk,594,train,Høyere nivå,Mobiltelefonen,telefon 
21,B2/C1,h0262,mann,polsk,550,train,Høyere nivå,Bilisme,bil trafikk 
44,B1/B2,h0263,kvinne,engelsk,696,train,Høyere nivå,Likestilling mellom kjønnene,kjønn 
25,B2,h0264,kvinne,russisk,525,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
33,B1/B2,h0265,kvinne,engelsk,435,train,Høyere nivå,Mobiltelefonen,telefon 
30,N/A,h0266,mann,nederlandsk,474,N/A,Høyere nivå,Likestilling mellom kjønnene,kjønn 
41,B2,h0267,kvinne,spansk,549,train,Høyere nivå,Familieliv og yrkesliv,familie arbeid yrke 
24,N/A,h0268,mann,nederlandsk,497,N/A,Høyere nivå,Bilisme,bil trafikk 
